Nombre de bornes disponibles;Nombre vélo en PARK+;Nombres de bornes en station;PARK + activation;densityLevel;Achat possible en station (CB);Description station;maxBikeOverflow;Etat du Totem;nbFreeDock;Nombre de vélo mécanique;PARK +;nbDock;Nombre vélo électrique;Nombre vélo en PARK+;Code de la station;Nom de la station;Etat des stations;Type de stations;geo;duedate
29;0;30;no;1;yes;"{""code"": ""35008"", ""name"": ""Place de l'Eglise"", ""state"": ""Operative"", ""type"": ""yes"", ""dueDate"": 1522447200, ""gps"": {""latitude"": 48.892809461520265, ""longitude"": 2.4124351143836975}}";30;yes;0;1;no;0;0;0;35008;Place de l'Eglise;Operative;yes;48.8928094615, 2.41243511438;2018-03-30
36;0;36;no;1;yes;"{""code"": ""13022"", ""name"": ""Butte aux Cailles - Esperance"", ""state"": ""Operative"", ""type"": ""yes"", ""dueDate"": 1530741653, ""gps"": {""latitude"": 48.82758774190948, ""longitude"": 2.3492151126265526}}";0;yes;0;0;no;0;0;0;13022;Butte aux Cailles - Esperance;Operative;yes;48.8275877419, 2.34921511263;2018-07-04
26;0;28;no;1;yes;"{""code"": ""5028"", ""name"": ""Censier - Jardin des Plantes"", ""state"": ""Operative"", ""type"": ""yes"", ""dueDate"": 1558476028, ""gps"": {""latitude"": 48.84107178161383, ""longitude"": 2.355475388467312}}";55;yes;0;2;no;0;0;0;5028;Censier - Jardin des Plantes;Operative;yes;48.8410717816, 2.35547538847;2019-05-21
20;0;26;no;1;yes;"{""code"": ""15122"", ""name"": ""Place Charles Vallin"", ""state"": ""Operative"", ""type"": ""yes"", ""dueDate"": 1543615140, ""gps"": {""latitude"": 48.83552381204077, ""longitude"": 2.302598655223847}}";0;yes;0;4;no;0;1;0;15122;Place Charles Vallin;Operative;yes;48.835523812, 2.30259865522;2018-11-30
44;0;49;no;1;no;"{""code"": ""13047"", ""name"": ""Boutroux - Porte de Vitry"", ""state"": ""Operative"", ""type"": ""yes"", ""dueDate"": 1540936740, ""gps"": {""latitude"": 48.822632, ""longitude"": 2.377738}}";0;yes;0;4;no;0;1;0;13047;Boutroux - Porte de Vitry;Operative;yes;48.822632, 2.377738;2018-10-30
10;0;17;no;1;no;"{""code"": ""20004"", ""name"": ""Commandant l'Herminier - Gallieni"", ""state"": ""Operative"", ""type"": ""yes"", ""dueDate"": 1540936740, ""gps"": {""latitude"": 48.84704055260307, ""longitude"": 2.416045367717743}}";16;yes;0;4;no;0;1;0;20004;Commandant l'Herminier - Gallieni;Operative;yes;48.8470405526, 2.41604536772;2018-10-30
13;0;18;no;0;no;"{""code"": ""44103"", ""name"": ""Pont De Charenton"", ""state"": ""Operative"", ""type"": ""yes"", ""dueDate"": 1540936740, ""gps"": {""latitude"": 48.8179685, ""longitude"": 2.4199531}}";0;yes;0;4;no;0;1;0;44103;Pont De Charenton;Operative;yes;48.8179685, 2.4199531;2018-10-30
16;0;23;no;1;no;"{""code"": ""22403"", ""name"": ""Pierre Brossolette - Adolphe Pinard"", ""state"": ""Operative"", ""type"": ""yes"", ""dueDate"": 1531605629, ""gps"": {""latitude"": 48.82177227954821, ""longitude"": 2.313155829906464}}";0;yes;1;6;no;1;1;0;22403;Pierre Brossolette - Adolphe Pinard;Operative;yes;48.8217722795, 2.31315582991;2018-07-14
1;0;1;no;1;yes;"{""code"": ""20047"", ""name"": ""Cours de Vincennes - Davout"", ""state"": ""Work in progress"", ""type"": ""yes"", ""dueDate"": 1567202400, ""gps"": {""latitude"": 48.8473310531154, ""longitude"": 2.4103900081973}}";48;yes;47;0;no;47;0;0;20047;Cours de Vincennes - Davout;Work in progress;yes;48.8473310531, 2.4103900082;2019-08-30
48;0;53;no;1;yes;"{""code"": ""17001"", ""name"": ""Guy Môquet - Saint-Ouen"", ""state"": ""Operative"", ""type"": ""yes"", ""dueDate"": 1555275540, ""gps"": {""latitude"": 48.892777719023975, ""longitude"": 2.3270335793495183}}";0;yes;0;1;no;0;2;0;17001;Guy Môquet - Saint-Ouen;Operative;yes;48.892777719, 2.32703357935;2019-04-14
23;0;28;no;1;no;"{""code"": ""19113"", ""name"": ""Pré Saint-Gervais - Lilas"", ""state"": ""Operative"", ""type"": ""yes"", ""dueDate"": 1556830740, ""gps"": {""latitude"": 48.87787062698808, ""longitude"": 2.39590734243393}}";28;yes;0;1;no;0;1;0;19113;Pré Saint-Gervais - Lilas;Operative;yes;48.877870627, 2.39590734243;2019-05-02
